SM-ranki Sprintit 2024;SPRINTTI;05.05.2024;3;true
Sija;Nimi;Lisenssi;Seura;Kilp 1;Pist 1;Kilp 2;Pist 2;Kilp 3;Pist 3;Kilp 4;Pist 4;Kilp 5;Pist 5;Pisteet
1;Heinonen Eero;26233;MSParma;26526;92.90;26527;90.19;26767;89.48;;;;;100.00
2;Sevelius Emil;13470;OK77;26526;90.25;26527;89.74;0;84.39;;;;;96.99
3;Sankelo Sampo;98915;LapVi;26527;89.74;26526;89.58;26588;84.74;;;;;96.87
4;Kaario Otto;17439;HS;26526;88.49;0;88.05;26527;86.33;;;;;96.43
5;Ruohola Akseli;27510;MSParma;26527;91.81;0;86.75;26526;82.52;;;;;95.77
6;Peltola Samuli;91212;JRV;26527;88.40;26767;86.24;26526;85.11;;;;;95.29
7;Ylikylä Petja;28088;AngA;26527;89.07;26767;84.87;0;83.27;;;;;94.36
8;Donner Jonny;22355;OK77;26526;87.09;26527;85.06;0;82.17;;;;;93.30
9;Heikkilä Niklas;29773;KS;26526;86.46;26527;82.00;26520;77.92;;;;;90.39
10;Parjanne Antti;12562;Lynx;26526;83.21;26534;81.66;26527;79.85;;;;;89.78
11;Kinnunen Valtteri;12924;LS-37;26527;84.43;26526;81.93;26534;78.04;;;;;89.67
12;Similä Severi;96189;TP;26526;85.84;26527;82.60;0;75.43;;;;;89.47
13;Pasanen Ville;102916;KR;26527;87.52;;;;;;;;;88.62
14;Penttinen Topi;25952;MSParma;26767;83.79;0;81.96;;;;;;;87.56
15;Palmen Alvar;11733;EsSu;0;85.10;26527;79.35;;;;;;;86.87
16;Patana Mikko;19569;RaJu;0;80.31;26527;79.85;26526;76.55;;;;;86.84
17;Rautio Daniel;38453;EsSu;26526;83.71;26527;79.05;0;73.41;;;;;86.64
18;Mäkinen Tuukka;28937;MSParma;26526;79.66;0;79.58;26527;76.65;;;;;86.54
19;Sopo Aleksi;11382;Navi;26527;85.69;26526;78.13;0;72.02;;;;;86.52
20;Koivumäki Olli;29317;LapVi;26767;80.96;26534;79.06;0;73.27;;;;;85.58
21;Turkki Eero;12799;HS;26527;80.25;26526;76.55;0;74.67;;;;;84.92
22;Vanhanen Konsta;12092;IkNV;26527;81.12;26526;75.54;0;72.84;;;;;84.20
23;Suutari Matti;11546;VeVe;26702;82.89;;;;;;;;;83.93
24;Mäkelä Tuomo;17281;AngA;26767;79.57;0;78.79;;;;;;;83.66
25;Kuningas Janne;19859;LappRi;26823;76.70;26563;75.95;0;74.74;;;;;83.42
25;Suna Jussi;17919;TuMe;26702;79.73;0;78.19;;;;;;;83.42
27;Ahoniemi Santeri;94829;HS;26527;82.91;26526;76.55;0;66.98;;;;;83.07
28;Tikhonov Gleb;98717;TuMe;26526;81.93;0;73.51;26527;70.67;;;;;82.95
29;Viitasaari Toni-Antti;9371;LapVi;26534;80.09;0;76.88;;;;;;;82.92
30;Koivisto Antton;96035;S-JKL;26526;80.31;0;76.42;26527;68.37;;;;;82.58
31;Portin Fredric;23047;Brahe;26702;86.02;0;68.76;26562;68.75;;;;;82.00
32;Ankelo Jussi;94666;MSParma;26702;81.02;0;73.70;;;;;;;81.74
33;Heikkilä Ollipekka;24307;HS;26526;77.30;26527;76.02;0;68.49;;;;;81.38
34;Nikkinen Hannes;90749;HiKi;26767;78.45;26563;72.32;26823;70.50;;;;;81.18
35;Stenbacka Wilhelm;112090;OK77;26361;76.11;26563;73.37;0;70.90;;;;;80.85
36;Rannila Oskari;92057;LapVi;26588;74.62;26534;72.86;0;72.66;;;;;80.76
37;Töyrylä Rasmus;99828;KyS;26823;77.81;26563;76.94;0;64.48;;;;;80.43
38;Ala-Äijälä Janne;18616;RaLu;0;78.24;26702;71.43;26534;69.51;;;;;80.41
39;Solonen Joni;9281;LS-37;26526;77.30;26521;71.54;26527;70.06;;;;;80.31
40;Haugskott Anders;122796;EsSu;26526;77.84;26527;74.16;;;;;;;80.30
41;Rantala Valtteri;11758;LS-37;26360;73.36;26361;72.61;0;72.15;;;;;80.02
42;Liukkonen Oskari;3403;HiKi;26823;73.15;26563;72.32;26360;71.90;;;;;79.75
43;Hirvikallio Aatu;29989;KS;26527;75.48;26526;73.52;0;68.33;;;;;79.73
44;Hjulgren Markus;23857;EsAk;26527;73.47;0;71.98;26526;70.72;;;;;79.31
45;Syrjäläinen Topi;22134;HS;0;84.35;26702;65.64;;;;;;;79.24
46;Suominen Miika;10383;HS;26526;77.30;26527;72.21;;;;;;;78.98
47;Linnainmaa Lauri;899;HiKi;26527;77.76;;;;;;;;;78.74
48;Jansson Emil;92643;Brahe;26588;77.77;0;70.55;;;;;;;78.35
49;Rantala Petteri;25298;KoS;26526;73.87;26527;71.55;0;65.76;;;;;77.48
50;Korhonen Eetu;24998;KS;26526;75.10;26527;72.48;0;63.13;;;;;77.31
51;Levälehto Riku;110437;TuMe;26767;75.77;26702;72.22;0;62.36;;;;;77.17
52;Laine Ville;106586;NaTe;26534;71.78;26526;70.05;26360;67.70;;;;;76.87
53;Mbembela Karim;35624;HS;0;73.05;26526;69.50;26527;66.37;;;;;76.65
54;Seppänen Jukka-Pekka;697;HiKi;26702;74.35;26534;71.06;0;63.32;;;;;76.58
55;Lapila Eero;26502;MSParma;26702;75.44;;;;;;;;;76.38
56;Mattila Tuomas;35442;VeVe;26534;71.06;26527;68.92;26526;68.05;;;;;76.31
57;Iivari Antti;35183;RaJu;0;77.44;26588;66.77;;;;;;;76.19
58;Seppänen Kari-Pekka;12355;EsSu;0;70.40;26702;69.38;26767;67.79;;;;;76.15
59;Hauhia Aleksi;97182;RaJu;26588;75.88;0;66.81;;;;;;;75.39
60;Lepistö Oskari;23629;MSParma;26767;74.54;0;68.08;;;;;;;75.35
61;Korpio Juha;21201;EsAk;26527;74.44;26526;67.45;0;63.17;;;;;75.23
62;Vierimaa Ville;107558;EsAk;26526;68.49;0;68.01;26527;67.90;;;;;74.98
63;Hiltunen Juho;90533;EsSu;26526;71.97;26527;66.62;0;65.62;;;;;74.92
64;Julkunen Aaro;31641;MSParma;26702;73.53;;;;;;;;;74.45
65;Saikko Ville;21076;LappRi;26534;74.03;0;66.82;;;;;;;74.40
66;Rautio Mikael;34239;EsSu;26526;72.93;;;;;;;;;73.85
67;Tervakangas Mikko;21407;EsSu;26526;70.72;0;68.61;;;;;;;73.61
68;Pukema Hannu-Pekka;15519;KS;26520;69.33;26521;68.15;0;62.83;;;;;73.49
69;Taivainen Juho-Matti;24190;PelPo;26534;68.34;0;67.64;26526;64.21;;;;;73.44
70;Saarela Benjamin;36899;LHR;26526;68.49;26361;66.66;26360;64.95;;;;;73.41
71;Manninen Heikki;8026;AnttU;26526;74.15;0;64.63;;;;;;;73.31
72;Millner Max;121137;TuMe;26767;71.88;26702;68.91;0;58.51;;;;;73.12
73;Nissinen Niko;31973;RaJu;26588;70.78;0;67.38;;;;;;;72.99
74;Ihme Vili;27098;Pohjant;26598;69.95;26597;68.03;;;;;;;72.89
75;Maasilta Aapo;36611;HS;26526;71.29;0;70.66;26527;56.41;;;;;72.77
76;Klemola Saul;24788;RaKaS;26520;71.33;26521;65.75;;;;;;;72.42
77;Hölli Mikko;16965;KangSK;26527;77.38;0;59.66;;;;;;;72.40
78;Salmenoja Samuli;19891;MSParma;26702;71.43;;;;;;;;;72.33
79;Lemström Karl Emil;91630;Raseborg;0;69.16;26563;67.84;26823;59.73;;;;;72.18
80;Jutila Aleksi;117702;S-JKL;26526;66.33;26527;65.07;26361;65.00;;;;;72.06
81;Niemelä Julius;112208;MSParma;26526;69.10;26527;64.50;0;62.57;;;;;71.97
82;Kerkola Nico;5649;AngA;26767;71.07;;;;;;;;;71.96
83;Korpinen Taneli;20451;TuMe;26702;70.49;;;;;;;;;71.37
84;Ekola Juuso;96522;LapVi;26534;76.47;0;58.42;;;;;;;71.26
85;Hapola Tuomas;12454;RaKaS;26526;71.63;26527;65.65;0;56.78;;;;;71.19
86;Summanen Aapo;34122;HS;26360;66.85;0;64.21;26361;62.95;;;;;71.18
87;Nieminen Janne;9105;PR;26702;69.90;;;;;;;;;70.78
88;Koivuniemi Sakari;99064;Koovee;0;66.92;26823;64.45;26563;61.31;;;;;70.68
89;Mutka Manu;27716;TuMe;0;64.48;26563;64.20;26767;62.16;;;;;70.01
90;Vuorinen Miki;98562;Koovee;0;64.66;26597;63.53;26598;60.72;;;;;69.30
91;Tervala Miska;11691;VaHa;26360;74.01;0;57.02;;;;;;;69.22
92;Taulavuori Arttu;26396;Pohjant;26598;64.81;26597;62.03;0;58.69;;;;;68.06
93;Meuronen Joonas;107012;HS;26534;66.21;26823;61.04;26563;58.20;;;;;68.04
94;Kukkonen Henri;28529;VeVe;26526;65.29;0;58.86;26527;58.64;;;;;67.06
95;Jussinmäki Pietari;95059;LapVi;26588;64.34;0;62.20;;;;;;;66.85
96;Sipilä Vili;118493;TP;26526;64.21;26527;59.98;0;57.76;;;;;66.75
97;Melin Christoffer;9788;OK77;0;64.02;26534;61.50;;;;;;;66.31
98;Friman Eemeli;98790;HyRa;26361;69.77;0;55.64;;;;;;;66.24
99;Korhonen Konsta;104640;VaHa;0;69.08;26597;54.88;;;;;;;65.49
100;Kanniainen Tomi;92581;PuolRy;26597;65.22;26598;62.37;0;50.89;;;;;65.47
100;Ranto Tuomas;29039;KoS;26588;61.35;26526;60.50;26527;56.62;;;;;65.47
102;Ursin Antti;29219;Lynx;0;64.50;26563;58.85;;;;;;;65.17
103;Rantala Peetu;26946;KoS;26588;63.04;0;57.12;26527;56.89;;;;;64.96
104;Karjanlahti Kosti;102408;RaJu;26588;68.91;0;53.05;;;;;;;64.43
105;Ylitalo Aki;12574;HauSi;26563;62.28;26823;57.09;26527;56.10;;;;;64.37
106;Niskanen Teemu;14968;LS-37;26702;62.09;26360;57.11;26361;55.39;;;;;64.05
107;Kenttämies Eevert;102767;Koovee;0;70.27;26575;49.58;;;;;;;63.32
108;Ankelo Tuomas;94667;MSParma;26702;67.13;0;52.13;;;;;;;63.00
109;Toivonen Juuso;120980;HlS;26526;61.77;26702;60.64;26527;49.03;;;;;62.90
110;Liljeström Matias;95032;HS;26702;64.73;0;54.22;;;;;;;62.83
111;Pitkänen Ville;102166;RaJu;26598;57.29;0;56.92;26597;56.65;;;;;62.69
112;Sankelo Hermanni;414;LapVi;26588;59.30;0;58.73;;;;;;;62.35
113;Seppänen Antti;92726;ORa;26520;59.10;26521;58.69;;;;;;;62.22
114;Soisalo Tuomas;7653;HS;26526;58.08;26534;56.94;26527;54.03;;;;;62.02
115;Kallio Santeri;107990;KoS;26562;61.67;0;55.04;;;;;;;61.66
116;Lehtoranta Teemu;10416;SKUusi;26360;58.55;26361;58.12;;;;;;;61.63
117;Korhonen Hannu;106343;Pihkan;26360;59.73;0;56.86;;;;;;;61.59
118;Lemberg Ville;36972;RaJu;26588;60.39;0;55.96;;;;;;;61.46
119;Järvinen Ossi;5217;TP;26527;60.66;26526;58.73;0;46.50;;;;;60.86
120;Saarimaa Saku;120652;HS;26563;61.31;0;53.78;;;;;;;60.80
121;Viippola Veeti;107223;SoJy;26598;63.90;26597;59.30;0;42.33;;;;;60.73
122;West Viktor;106574;Brahe;26562;57.98;0;56.60;;;;;;;60.53
123;Matilainen Juha;9348;OK77;0;60.61;26702;53.73;;;;;;;60.40
124;Chapelliere Yann;123126;KangSK;26823;65.44;26563;56.88;26575;42.14;;;;;60.33
125;Hanhela Veli-Matti;3391;MSParma;26702;61.15;0;52.97;;;;;;;60.29
126;Järvenpää Juha;109760;HS;0;56.23;26361;53.90;26360;53.07;;;;;59.87
127;Tuomaala Eero;27553;SKUusi;26361;57.05;26360;56.00;;;;;;;59.72
128;Kerkola Teemu;26744;AngA;26767;58.92;;;;;;;;;59.66
128;Jansson Sören;100423;Falken;0;57.49;26562;55.45;;;;;;;59.66
130;Ruusu Rasmus;99104;EsSu;26534;60.54;0;51.77;;;;;;;59.33
131;Kivikoski Pyry;101989;RaHa;26527;57.36;26526;54.90;;;;;;;59.30
132;Laasanen Lauri;1686;LaihLu;26526;61.25;26527;49.45;;;;;;;58.49
133;Mulari Valtteri;35333;MaMa;26702;57.50;;;;;;;;;58.22
133;Lähdesmäki Mikko;3627;RaJu;26702;57.50;;;;;;;;;58.22
135;Joentausta Pontus;106622;NaTe;26526;57.24;;;;;;;;;57.96
136;Pietilänaho Juho;2135;HiKi;26702;55.33;0;53.27;;;;;;;57.37
137;Anttonen Mikko;123159;RaVa;26361;56.13;;;;;;;;;56.83
138;Saukkonen Samuli;28612;SKUusi;26360;55.48;26361;52.08;;;;;;;56.82
139;Liljeström Kimmo;15130;HS;26702;54.68;0;52.74;;;;;;;56.75
140;Kumpulainen Oiva;113004;JäPa;26563;52.49;26823;50.99;26360;50.79;;;;;56.59
141;Heikkinen Aaro;110274;HS;26534;56.94;0;50.06;;;;;;;56.53
142;Heino Veikka;106765;Pohjant;0;57.56;26597;52.07;26598;42.23;;;;;55.71
143;Rokka Matias;31658;LHR;26527;55.84;26526;48.54;;;;;;;55.14
144;Kettunen Pyry;10214;SäynSa;0;51.53;26534;51.51;;;;;;;54.44
145;Forsell Mickel;38707;Botnia;26562;51.86;0;50.50;;;;;;;54.07
146;Pietikäinen Aleksi;21472;SKUusi;26360;53.58;26361;48.53;;;;;;;53.95
147;Seppänen Mika;12783;VaKa;26597;52.07;26598;49.73;;;;;;;53.77
148;Paakkolanvaara Kalle;108118;Pohjant;26597;52.85;;;;;;;;;53.51
149;Köngäs Teemu;14052;SoJy;26598;56.43;26597;53.47;0;30.67;;;;;51.57
150;Liljeström Tommi;92637;HS;26823;48.63;26534;48.17;26527;43.02;;;;;51.30
151;Höök Jaakko;113144;RaJu;26588;49.94;0;46.83;;;;;;;51.12
152;Luukkainen Roope;118207;LappRi;26823;50.07;26563;44.62;0;44.31;;;;;50.99
153;Rikkonen Joonas;114695;TuS;26702;55.83;0;40.43;;;;;;;50.85
154;Sainio Antti;16568;SKUusi;26360;47.72;26361;47.47;;;;;;;50.29
155;Jansson Lukas;103367;Falken;26588;55.95;0;38.16;;;;;;;49.72
156;Arvela Oskari;29483;Pohjant;26598;54.75;26597;50.58;0;28.84;;;;;49.22
157;Harjuhaahto Antti;38206;SalRe;26598;48.57;26597;44.12;;;;;;;48.98
158;Sorsa Lauri;109136;SoJy;26598;47.48;26597;46.81;0;38.66;;;;;48.78
159;Sundelin Peter;24151;Femman;0;46.64;26562;45.69;;;;;;;48.77
160;Kronqvist Emil;36507;KoS;26527;46.37;0;42.49;26526;42.31;;;;;48.12
161;Nikkilä Elias;118742;TuS;26702;53.29;0;35.75;;;;;;;47.04
162;Nyman Matias;110383;TuS;26702;52.74;0;35.91;;;;;;;46.83
163;Seppä Elias;106380;AngA;26702;44.39;;;;;;;;;44.95
164;Nissinen Veeti;92203;SoJy;26597;41.25;26598;40.07;;;;;;;42.96
165;Moholdt Lars;45294;VaHa;26575;39.27;;;;;;;;;39.76
166;Pirinen Teemu;109708;AngA;26702;38.63;;;;;;;;;39.11
167;Ylönen Veli-Matti;15620;KS;26526;31.69;26527;30.05;;;;;;;32.62